lsl_timestamp,TP9,AF7,AF8,TP10
1769484258.719125,-20.5078125,-28.3203125,-59.5703125,-132.8125
1769484258.7230313,-19.53125,-26.85546875,-57.6171875,-119.140625
1769484258.7269375,-75.68359375,-29.296875,-49.8046875,-133.7890625
1769484258.7308438,-72.75390625,-31.25,-51.7578125,-141.6015625
1769484258.73475,-50.78125,-34.66796875,-56.15234375,-135.7421875
1769484258.7386563,-41.9921875,-41.015625,-55.6640625,-126.46484375
1769484258.7425625,-56.15234375,-41.9921875,-53.22265625,-128.41796875
1769484258.7464688,-46.875,-45.8984375,-55.17578125,-113.76953125
1769484258.750375,-36.62109375,-38.57421875,-54.19921875,-49.8046875
1769484258.7542813,-30.76171875,-36.62109375,-55.17578125,-30.2734375
1769484258.7581875,-48.33984375,-47.8515625,-54.19921875,-44.921875
1769484258.7620938,-72.265625,-43.45703125,-48.828125,-44.921875
1769484258.765125,-42.48046875,-37.59765625,-51.26953125,-30.76171875
1769484258.7690313,-30.2734375,-26.85546875,-48.33984375,-31.25
1769484258.7729375,-44.43359375,-29.296875,-48.828125,-70.3125
1769484258.7768438,-45.41015625,-38.0859375,-51.26953125,-101.5625
1769484258.78075,-35.64453125,-25.390625,-49.31640625,-123.046875
1769484258.7846563,-5.37109375,-20.99609375,-51.7578125,-101.07421875
1769484258.7885625,-13.671875,-32.2265625,-51.26953125,-56.640625
1769484258.7924688,-36.62109375,-32.2265625,-48.33984375,-61.03515625
1769484258.796375,-39.0625,-30.76171875,-50.29296875,-33.203125
1769484258.8002813,-31.25,-36.62109375,-44.921875,2.44140625
1769484258.8041875,-22.94921875,-41.50390625,-42.48046875,0.0
1769484258.8080938,-42.96875,-42.96875,-49.31640625,-23.92578125
1769484258.840125,-57.6171875,-39.0625,-47.8515625,-57.6171875
1769484258.8440313,-26.3671875,-38.57421875,-45.41015625,-45.8984375
1769484258.8479376,0.0,-37.109375,-45.8984375,-17.578125
1769484258.8518438,-38.57421875,-39.0625,-42.48046875,-33.203125
1769484258.85575,-69.82421875,-40.52734375,-39.0625,-29.296875
1769484258.8596563,-45.8984375,-40.0390625,-42.96875,-19.04296875
1769484258.8635626,-22.4609375,-35.15625,-43.45703125,-26.3671875
1769484258.8674688,-35.15625,-28.3203125,-37.109375,-22.4609375
1769484258.871375,-68.359375,-25.390625,-33.69140625,-15.625
1769484258.8752813,-44.43359375,-30.76171875,-32.2265625,-13.671875
1769484258.8791876,-17.08984375,-33.203125,-40.52734375,-17.578125
1769484258.8830938,-40.0390625,-33.203125,-45.41015625,-42.96875
1769484258.855125,-43.9453125,-29.296875,-41.015625,-74.21875
1769484258.8590312,-40.52734375,-26.85546875,-41.9921875,-103.515625
1769484258.8629375,-29.296875,-21.484375,-47.8515625,-112.79296875
1769484258.8668437,-25.390625,-18.5546875,-50.78125,-106.4453125
1769484258.87075,-28.3203125,-25.390625,-51.26953125,-139.16015625
1769484258.8746562,-23.92578125,-22.94921875,-48.33984375,-145.5078125
1769484258.8785625,-15.625,-20.5078125,-47.36328125,-143.5546875
1769484258.8824687,4.8828125,-18.06640625,-50.29296875,-145.5078125
1769484258.886375,-18.06640625,-19.53125,-48.33984375,-146.97265625
1769484258.8902812,-42.96875,-26.3671875,-44.43359375,-169.43359375
1769484258.8941875,-28.80859375,-24.4140625,-42.96875,-192.3828125
1769484258.8980937,-14.16015625,-21.484375,-41.015625,-179.6875
1769484258.914125,-20.99609375,-26.85546875,-41.50390625,-170.41015625
1769484258.9180312,-27.83203125,-28.3203125,-35.64453125,-193.84765625
1769484258.9219375,-35.15625,-31.25,-35.15625,-194.82421875
1769484258.9258437,-19.53125,-34.1796875,-41.50390625,-163.57421875
1769484258.92975,-7.32421875,-35.15625,-40.0390625,-153.3203125
1769484258.9336562,-43.45703125,-43.45703125,-40.0390625,-147.4609375
1769484258.9375625,-53.7109375,-40.0390625,-42.96875,-145.01953125
1769484258.9414687,-21.484375,-27.34375,-45.8984375,-127.44140625
1769484258.945375,-12.20703125,-28.3203125,-49.8046875,-103.02734375
1769484258.9492812,-35.15625,-29.296875,-46.875,-126.953125
